timestamp,wb_total_demand_mw,cesc_demand_mw,wbsedcl_demand_mw,grid_frequency_hz,ambient_temp_c,relative_humidity_pct,apparent_temp_c,us_aqi,system_overload_alert,data_source
2026-09-17 14:00:40,10889.3,3118.9,7770.4,50.021,36.4,61.5,44.7,105,0,live_grid_india_erldc
2026-09-17 15:00:40,10827.2,3095.3,7731.9,50.018,36.5,61.0,44.7,106,0,live_grid_india_erldc
2026-09-17 16:00:40,10511.4,3019.0,7492.4,49.995,36.4,61.5,44.7,111,0,live_grid_india_erldc
2026-09-17 17:00:40,9467.7,2690.6,6777.1,50.01,36.0,62.9,44.3,119,0,live_grid_india_erldc
2026-09-17 18:00:40,12379.9,3525.0,8854.9,49.979,35.3,65.1,43.5,129,0,live_grid_india_erldc
2026-09-17 19:00:40,13057.2,3728.2,9329.0,49.892,34.5,68.0,42.7,142,1,live_grid_india_erldc
2026-09-17 20:00:40,13539.0,3862.8,9676.2,49.877,33.5,71.4,41.6,155,1,live_grid_india_erldc
2026-09-17 21:00:40,13208.1,3750.6,9457.5,49.917,32.5,75.0,40.6,167,1,live_grid_india_erldc
2026-09-17 22:00:40,12701.3,3581.2,9120.1,49.989,31.5,78.6,39.4,180,0,live_grid_india_erldc
2026-09-17 23:00:40,9375.8,2664.8,6711.0,50.026,30.5,82.0,38.3,190,0,live_grid_india_erldc
2026-09-18 00:00:40,9340.0,2727.6,6612.4,50.001,29.7,84.9,37.3,198,0,live_grid_india_erldc
2026-09-18 01:00:40,8118.5,2313.3,5805.2,50.0,29.0,87.1,36.5,203,0,live_grid_india_erldc
2026-09-18 02:00:40,8006.3,2352.4,5653.9,50.021,28.6,88.5,36.0,205,0,live_grid_india_erldc
2026-09-18 03:00:40,7261.0,2088.6,5172.4,49.995,28.5,89.0,35.9,203,0,live_grid_india_erldc
2026-09-18 04:00:40,7049.3,2015.1,5034.2,49.997,28.6,88.5,36.0,198,0,live_grid_india_erldc
2026-09-18 05:00:40,6709.7,1931.1,4778.6,50.041,29.0,87.1,36.5,190,0,live_grid_india_erldc
2026-09-18 06:00:40,8853.8,2516.8,6337.0,49.977,29.7,84.9,37.3,180,0,live_grid_india_erldc
2026-09-18 07:00:40,9282.5,2609.1,6673.4,50.041,30.5,82.0,38.3,167,0,live_grid_india_erldc
2026-09-18 08:00:40,9114.5,2584.3,6530.2,50.053,31.5,78.6,39.4,155,0,live_grid_india_erldc
2026-09-18 09:00:40,9261.4,2642.6,6618.8,49.99,32.5,75.0,40.6,142,0,live_grid_india_erldc
2026-09-18 10:00:40,8991.0,2504.7,6486.3,49.998,33.5,71.4,41.6,130,0,live_grid_india_erldc
2026-09-18 11:00:40,10569.1,2989.6,7579.5,50.008,34.5,68.0,42.7,119,0,live_grid_india_erldc
2026-09-18 12:00:40,10793.0,3087.5,7705.5,49.989,35.3,65.1,43.5,111,0,live_grid_india_erldc
2026-09-18 13:00:40,11282.6,3224.9,8057.7,50.007,36.0,62.9,44.3,106,0,live_grid_india_erldc
2026-09-18 14:00:40,11615.8,3340.0,8275.8,50.019,36.4,61.5,44.7,105,0,live_grid_india_erldc
2026-09-18 15:00:40,11127.5,3197.2,7930.3,50.044,36.5,61.0,44.7,106,0,live_grid_india_erldc
2026-09-18 16:00:40,10554.5,3003.4,7551.1,49.999,36.4,61.5,44.7,111,0,live_grid_india_erldc
2026-09-18 17:00:40,9170.0,2629.7,6540.3,49.965,36.0,62.9,44.3,119,0,live_grid_india_erldc
2026-09-18 18:00:40,12705.9,3563.4,9142.5,50.007,35.3,65.1,43.5,129,0,live_grid_india_erldc
2026-09-18 19:00:40,13222.4,3754.1,9468.3,49.903,34.5,68.0,42.7,142,1,live_grid_india_erldc
2026-09-18 20:00:40,13473.4,3831.6,9641.8,49.892,33.5,71.4,41.6,155,1,live_grid_india_erldc
2026-09-18 21:00:40,13494.7,3877.4,9617.3,49.902,32.5,75.0,40.6,167,1,live_grid_india_erldc
2026-09-18 22:00:40,12544.5,3584.3,8960.2,49.974,31.5,78.6,39.4,180,0,live_grid_india_erldc
2026-09-18 23:00:40,8973.2,2527.9,6445.3,49.974,30.5,82.0,38.3,190,0,live_grid_india_erldc
2026-09-19 00:00:40,9242.3,2652.6,6589.7,50.015,29.7,84.9,37.3,198,0,live_grid_india_erldc
2026-09-19 01:00:40,7590.7,2162.3,5428.4,50.028,29.0,87.1,36.5,203,0,live_grid_india_erldc
2026-09-19 02:00:40,7914.4,2240.7,5673.7,49.979,28.6,88.5,36.0,205,0,live_grid_india_erldc
2026-09-19 03:00:40,7576.0,2160.0,5416.0,49.993,28.5,89.0,35.9,203,0,live_grid_india_erldc
2026-09-19 04:00:40,6815.5,1935.8,4879.7,50.005,28.6,88.5,36.0,198,0,live_grid_india_erldc
2026-09-19 05:00:40,7178.8,2068.8,5110.0,49.974,29.0,87.1,36.5,190,0,live_grid_india_erldc
2026-09-19 06:00:40,8965.4,2567.7,6397.7,49.993,29.7,84.9,37.3,180,0,live_grid_india_erldc
2026-09-19 07:00:40,8909.4,2529.3,6380.1,50.017,30.5,82.0,38.3,167,0,live_grid_india_erldc
2026-09-19 08:00:40,9437.5,2683.3,6754.2,50.033,31.5,78.6,39.4,155,0,live_grid_india_erldc
2026-09-19 09:00:40,9199.2,2623.2,6576.0,50.013,32.5,75.0,40.6,142,0,live_grid_india_erldc
2026-09-19 10:00:40,9330.3,2698.4,6631.9,50.024,33.5,71.4,41.6,130,0,live_grid_india_erldc
2026-09-19 11:00:40,10510.3,2972.8,7537.5,50.022,34.5,68.0,42.7,119,0,live_grid_india_erldc
2026-09-19 12:00:40,10922.1,3178.3,7743.8,50.006,35.3,65.1,43.5,111,0,live_grid_india_erldc
